,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
303,Antigon,VIS,"['sova', 'brimstone', 'raze']",1074,0.79,166.7,0.73,67%,116.5,0.56,0.28,0.09,0.13,18%,9%
304,Carlito,FRG,"['phoenix', 'omen', 'skye']",1187,0.79,165.9,0.74,65%,109.7,0.57,0.25,0.07,0.11,25%,18%
305,TNKJ,GNG,"['astra', 'brimstone', 'jett']",833,0.79,156.4,0.71,67%,103.1,0.53,0.31,0.07,0.09,23%,13%
306,SAR,(+1),"['sage', 'skye', 'sova']",213,0.79,178.3,0.76,64%,119.4,0.60,0.26,0.08,0.08,29%,12%
307,Aurora,XO,"['reyna', 'killjoy', 'jett']",443,0.78,164.9,0.74,67%,109.8,0.57,0.25,0.09,0.12,28%,18%
308,TeNma,OPY,"['fade', 'sova', 'viper']",381,0.77,160.9,0.68,66%,103.2,0.54,0.30,0.06,0.10,22%,9%
309,tirexa,GLS,"['killjoy', 'astra', 'sage']",282,0.77,179.1,0.73,64%,120.7,0.58,0.21,0.06,0.11,22%,9%
310,Mega,3BL,"['killjoy', 'cypher', 'viper']",502,0.77,163.2,0.73,61%,113.5,0.56,0.20,0.08,0.11,25%,8%
311,watermelon,GMX.A,"['astra', 'omen', 'brimstone']",281,0.76,156.9,0.70,60%,100.2,0.54,0.27,0.04,0.07,29%,9%
312,Duo,Dark,"['raze', 'sova', 'fade']",568,0.76,161.9,0.67,62%,110.1,0.54,0.28,0.08,0.10,28%,5%
313,suNtouch,1M,"['chamber', 'reyna', 'omen']",291,0.76,164.0,0.71,61%,108.3,0.56,0.25,0.04,0.13,29%,7%
314,SN0KEER,5KSt,"['killjoy', 'cypher', 'viper']",792,0.76,163.1,0.72,61%,102.7,0.57,0.21,0.06,0.09,30%,11%
315,Jinx,212,"['breach', 'killjoy']",212,0.76,170.2,0.70,57%,115.9,0.58,0.25,0.05,0.09,25%,10%
316,SaQR,GB,"['breach', 'sage', 'omen']",248,0.76,153.0,0.71,65%,102.7,0.55,0.33,0.08,0.15,34%,7%
317,Foxy,SCY,"['killjoy', 'skye', 'viper']",769,0.76,162.7,0.69,59%,111.5,0.56,0.26,0.07,0.13,24%,5%
318,Raffaello,(+2),"['astra', 'viper', 'skye']",341,0.76,159.4,0.66,57%,106.9,0.54,0.21,0.04,0.11,23%,10%
319,Panda,GnG.W,"['killjoy', 'viper', 'breach']",334,0.76,149.4,0.66,66%,98.9,0.50,0.34,0.07,0.06,29%,12%
320,Mapo,FXG,"['sage', 'jett', 'cypher']",210,0.76,154.5,0.70,59%,106.5,0.56,0.14,0.10,0.10,32%,3%
321,k0bra,MJY,"['cypher', 'sova', 'breach']",589,0.76,189.3,0.83,62%,121.8,0.64,0.32,0.10,0.11,22%,17%
322,solo88,Gui,"['killjoy', 'viper', 'astra']",220,0.75,168.6,0.72,58%,117.5,0.56,0.13,0.05,0.14,26%,8%
323,V1vaMeSs1,210,"['astra', 'sage', 'omen']",210,0.75,165.1,0.77,62%,107.3,0.61,0.18,0.07,0.09,22%,18%
324,Getoxic,RAF,"['viper', 'breach', 'brimstone']",514,0.75,152.3,0.66,65%,96.7,0.51,0.34,0.06,0.08,23%,10%
325,NURHAN,RAF.GC,"['viper', 'omen', 'killjoy']",348,0.75,156.9,0.68,57%,107.0,0.54,0.16,0.05,0.09,23%,8%
326,S,A,"['skye', 'killjoy', 'viper']",474,0.75,160.5,0.68,63%,110.2,0.53,0.24,0.05,0.11,26%,16%
327,dati,FUT.Fe,"['gekko', 'sova', 'breach']",224,0.75,151.2,0.69,65%,107.1,0.50,0.27,0.07,0.07,32%,13%
328,Knight,BJE,"['kayo', 'breach', 'skye']",469,0.75,149.1,0.65,58%,102.1,0.51,0.31,0.04,0.10,23%,14%
329,HS7,NZ,"['raze', 'viper', 'gekko']",321,0.75,166.1,0.68,59%,114.6,0.56,0.16,0.14,0.15,21%,8%
330,Darwin,3BL,"['breach', 'killjoy', 'iso']",805,0.75,161.8,0.68,65%,109.3,0.55,0.30,0.05,0.10,23%,11%
331,Kaqnn,SKUL,"['yoru', 'chamber', 'raze']",979,0.75,157.8,0.69,58%,107.1,0.56,0.16,0.06,0.10,26%,8%
332,JehadKai,(+2),"['astra', 'omen', 'viper']",283,0.75,150.7,0.66,59%,98.0,0.53,0.26,0.02,0.07,25%,5%
333,Saud,234,"['jett', 'sova', 'skye']",234,0.74,170.3,0.73,58%,110.8,0.58,0.20,0.13,0.21,19%,14%
334,Reapy,TOPG,"['jett', 'raze']",338,0.74,187.0,0.75,57%,129.0,0.66,0.12,0.17,0.21,25%,4%
