key ,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
1545,7ssk7,KPI,"{'breach', 'raze', 'viper'}",4814,1.04,209.3,1.05,70,136.6,0.75,0.20,0.15,0.14,27,14
1546,dr0wnzy,TBA,"{'sage', 'brimstone', 'sova'}",298,1.04,196.5,1.00,69,133.5,0.73,0.17,0.09,0.05,26,10
1547,MELSIDE,(+5),"{'jett', 'skye', 'reyna'}",409,1.04,209.2,1.07,71,133.9,0.74,0.20,0.13,0.11,28,20
1548,Glance,KC.GC,"{'sova', 'breach', 'cypher'}",6335,1.04,189.0,1.04,75,123.4,0.67,0.34,0.06,0.05,25,17
1549,Eraggi,5STA,"{'brimstone', 'viper', 'kayo'}",265,1.04,211.9,1.02,69,140.7,0.75,0.26,0.11,0.08,30,11
1550,supremjo,EYG,"{'kayo', 'chamber', 'omen'}",815,1.04,205.4,0.99,76,133.6,0.72,0.41,0.08,0.08,23,9
1551,Jlerst,GAL,"{'killjoy', 'astra', 'viper'}",4259,1.04,202.0,1.07,76,131.9,0.73,0.33,0.08,0.06,31,14
1552,feqew,ESC,"{'breach', 'jett', 'reyna'}",4997,1.04,217.7,1.09,70,138.9,0.77,0.22,0.14,0.11,26,13
1553,Sliicyy,char,"{'brimstone', 'viper', 'jett'}",3644,1.04,215.6,1.06,73,136.8,0.77,0.31,0.11,0.12,25,17
1554,RobbieBk,LOUD,"{'omen', 'sova', 'breach'}",3182,1.04,190.1,0.99,72,127.5,0.67,0.31,0.07,0.07,31,17
1555,al0rante,FKS,"{'phoenix', 'raze', 'jett'}",5200,1.04,225.3,1.10,69,146.6,0.80,0.18,0.12,0.12,39,17
1556,f4ngeer,KCBS,"{'jett', 'chamber', 'kayo'}",1741,1.04,224.6,1.08,68,147.0,0.80,0.17,0.18,0.15,31,12
1557,gob,b,"{'sova', 'breach', 'sage'}",2668,1.04,195.2,0.98,74,130.0,0.65,0.38,0.06,0.06,24,19
1558,choppaguap,(+2),"{'jett', 'raze', 'killjoy'}",256,1.04,210.6,1.02,72,135.7,0.72,0.21,0.12,0.10,23,8
1559,fsau,BFG,"{'raze', 'neon', 'yoru'}",539,1.04,226.2,1.02,70,145.8,0.78,0.24,0.16,0.12,24,9
1560,aimDLL,GMX,"{'cypher', 'sage', 'killjoy'}",2876,1.04,205.9,1.04,72,137.3,0.72,0.25,0.08,0.08,28,18
1561,Proxh,M8,"{'viper', 'omen', 'astra'}",1196,1.04,201.2,0.98,72,129.4,0.68,0.40,0.06,0.08,26,12
1562,hoody,FKS,"{'brimstone', 'jett', 'breach'}",7328,1.04,210.7,1.05,73,136.2,0.73,0.30,0.12,0.10,25,11
1563,ico,TOG,"{'omen', 'jett', 'neon'}",808,1.04,215.5,1.04,68,139.7,0.77,0.25,0.16,0.13,29,11
1564,BySmall,HOWL.M,"{'sova', 'fade', 'sage'}",871,1.03,195.3,1.00,71,130.7,0.70,0.28,0.05,0.05,31,20
1565,Lunox,One,"{'viper', 'sova', 'cypher'}",255,1.03,204.9,0.99,65,115.9,0.75,0.18,0.13,0.10,23,14
1566,Nivera,KC,"{'killjoy', 'sova', 'viper'}",2861,1.03,196.7,1.10,72,128.1,0.71,0.22,0.10,0.08,29,17
1567,VASQUEZ,BAAM,"{'killjoy', 'omen', 'jett'}",420,1.03,220.5,1.08,65,144.3,0.81,0.13,0.16,0.13,29,10
1568,Noia,SRG,"{'omen', 'reyna', 'skye'}",1090,1.03,221.8,1.05,69,148.7,0.79,0.26,0.11,0.10,25,17
1569,Eso177,QM,"{'cypher', 'killjoy', 'viper'}",2932,1.03,208.1,1.02,68,137.8,0.73,0.21,0.08,0.09,27,13
1570,Meddo,SK,"{'cypher', 'omen', 'killjoy'}",6996,1.03,191.8,1.12,74,126.4,0.70,0.21,0.06,0.05,25,17
1571,Jamppi,BBL,"{'jett', 'killjoy', 'sova'}",7371,1.03,210.0,1.07,71,132.0,0.74,0.25,0.13,0.12,25,18
1572,Kinguyen,SLY,"{'sage', 'raze', 'sova'}",2753,1.03,227.6,1.06,70,149.4,0.79,0.19,0.14,0.15,25,14
1573,Kuudo,SZK,"{'omen', 'viper', 'astra'}",232,1.03,186.2,0.94,73,127.4,0.65,0.35,0.04,0.06,29,17
1574,mEgA,(+1),"{'breach', 'kayo', 'omen'}",219,1.03,189.6,0.93,74,120.8,0.68,0.41,0.08,0.05,25,26
1575,xenon,NASR,"{'brimstone', 'omen', 'viper'}",2745,1.03,191.7,0.98,72,125.9,0.68,0.26,0.08,0.07,31,17
1576,Disorded,DMNX,"{'reyna', 'jett', 'viper'}",925,1.03,224.0,1.06,67,151.0,0.81,0.22,0.14,0.11,35,21
1577,lamelly,Venn,"{'omen', 'harbor', 'jett'}",1329,1.03,182.7,0.94,73,116.6,0.64,0.42,0.07,0.07,23,13
1578,bee,FMG.GC,"{'neon', 'raze', 'killjoy'}",998,1.03,206.0,1.06,69,128.5,0.73,0.23,0.11,0.09,27,10
1579,elysian,Zenn,"{'jett', 'breach', 'killjoy'}",1747,1.03,197.7,1.00,72,132.0,0.70,0.31,0.06,0.07,29,13
1580,Wens,HVND,"{'skye', 'breach', 'kayo'}",2978,1.03,204.8,1.07,71,137.0,0.73,0.21,0.10,0.10,35,18
1581,hussaR,GN,"{'omen', 'killjoy', 'cypher'}",4222,1.03,205.7,1.00,73,136.4,0.71,0.32,0.10,0.08,23,12
1582,vicious,F9,"{'jett', 'omen', 'reyna'}",3492,1.03,211.4,1.03,71,138.4,0.72,0.28,0.08,0.07,23,8
1583,madison,Irre,"{'breach', 'jett', 'neon'}",491,1.03,221.4,1.01,70,147.7,0.77,0.24,0.15,0.16,24,8
1584,Mimori,DIV,"{'jett', 'raze', 'breach'}",753,1.03,208.3,1.00,71,138.0,0.74,0.26,0.13,0.11,34,20
1585,Nayte,DIV,"{'kayo', 'omen', 'cypher'}",947,1.03,219.3,1.08,69,141.1,0.77,0.16,0.15,0.11,23,12
1586,Rarga,XLG,"{'chamber', 'sage', 'killjoy'}",452,1.03,235.1,1.10,66,151.7,0.85,0.16,0.13,0.12,31,14
1587,HEPSEV,PCF,"{'killjoy', 'cypher', 'breach'}",328,1.03,218.7,1.08,67,140.8,0.80,0.16,0.15,0.14,31,7
1588,ec1s,MU,"{'brimstone', 'omen', 'breach'}",3224,1.03,186.7,0.95,73,121.0,0.64,0.35,0.08,0.09,23,14
1589,donQ,(+1),"{'omen', 'brimstone', 'astra'}",1211,1.03,178.8,0.97,73,118.6,0.67,0.23,0.05,0.06,31,13
1590,Snowi,CLS,"{'sova', 'breach', 'viper'}",2443,1.03,185.1,0.98,74,122.3,0.65,0.41,0.06,0.07,26,16
1591,styl1sh,pAw,"{'cypher', 'viper', 'sova'}",251,1.03,196.7,0.94,73,135.1,0.68,0.25,0.06,0.04,30,11
