,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
718,Wanted,RZN,"['breach', 'omen', 'astra']",1823,0.97,184.3,0.93,70%,120.9,0.67,0.32,0.07,0.07,30%,18%
719,d3mur,ESC,"['raze', 'jett', 'yoru']",1080,0.97,225.6,0.99,67%,150.1,0.79,0.20,0.19,0.19,24%,25%
720,Mym,TOG,"['cypher', 'killjoy', 'viper']",335,0.97,196.4,0.85,69%,133.1,0.68,0.29,0.09,0.06,28%,7%
721,Tag,DSY,"['jett', 'raze', 'skye']",3317,0.97,192.4,0.98,70%,128.3,0.69,0.24,0.08,0.11,29%,15%
722,Rxchyy,VCGN,"['cypher', 'vyse', 'killjoy']",213,0.97,199.4,0.96,68%,139.2,0.72,0.18,0.08,0.11,30%,8%
723,Neli,FKS.S,"['raze', 'phoenix', 'jett']",1595,0.97,193.1,0.93,70%,126.6,0.67,0.28,0.08,0.08,22%,12%
724,Naschzz,AG,"['jett', 'skye', 'sova']",292,0.97,196.7,0.91,66%,131.1,0.69,0.19,0.10,0.14,24%,10%
725,Lenam0n,DOES,"['jett', 'chamber', 'breach']",449,0.97,212.9,0.96,66%,139.6,0.76,0.14,0.16,0.16,35%,13%
726,starki,EP,"['omen', 'sage', 'skye']",4428,0.97,186.9,0.98,71%,120.5,0.67,0.33,0.08,0.09,32%,14%
727,Lil,LUA,"['breach', 'tejo', 'harbor']",329,0.97,207.9,0.86,66%,133.4,0.71,0.33,0.09,0.09,31%,16%
728,dimasick,NBL,"['cypher', 'reyna', 'raze']",2905,0.97,200.2,1.02,70%,129.6,0.71,0.21,0.11,0.09,31%,12%
729,Rias,OP,"['sova', 'breach', 'astra']",2229,0.97,179.9,0.89,70%,122.1,0.61,0.33,0.05,0.07,27%,13%
730,Bard0lf,RBT,"['breach', 'sage', 'reyna']",2162,0.97,193.8,0.94,69%,128.4,0.68,0.27,0.08,0.09,39%,15%
731,MateliaN,CG,"['cypher', 'sova', 'breach']",2408,0.97,198.9,0.94,71%,132.4,0.69,0.27,0.11,0.11,26%,12%
